page,index,repo,owner,name,type,authors,commits,pulls,issues,comments,reviews
2,71,eddelbuettel/gettz,eddelbuettel,gettz,User,3,23,3,2,11,0
2,72,KWB-R/kwb.utils,kwb-r,kwb.utils,Organization,2,413,19,8,3,2
2,73,ropensci-archive/hoasts,ropensci-archive,hoasts,Organization,3,6,0,4,8,0
2,74,sckott/aspacer,sckott,aspacer,User,2,17,2,3,2,0
2,75,SciViews/svUnit,sciviews,svunit,Organization,1,45,0,0,0,0
2,76,California-Data-Collaborative/RateParser,california-data-collaborative,rateparser,Organization,3,50,8,8,12,0
2,77,ropensci-archive/timeraster,ropensci-archive,timeraster,Organization,1,16,0,2,2,0
2,78,sckott/phyrmeta,sckott,phyrmeta,User,1,6,0,0,0,0
2,79,calbertsen/covafillr,calbertsen,covafillr,User,1,152,0,0,0,0
2,80,tertiarycourses/RStatisticsTraining,tertiarycourses,rstatisticstraining,Organization,1,11,0,0,0,0
2,81,jlepird/prefeR,jlepird,prefer,User,1,48,0,0,0,0
2,82,raybaser/PROscorerTools,raybaser,proscorertools,User,1,16,0,2,0,0
2,83,raybaser/PROscorer,raybaser,proscorer,User,1,20,0,3,1,0
2,84,drizzersilverberg/gradDescentR,drizzersilverberg,graddescentr,User,4,5,0,2,1,0
2,85,SciViews/svGUI,sciviews,svgui,Organization,1,52,0,0,0,0
2,86,faustogc/streamChaos,faustogc,streamchaos,User,1,23,0,0,0,0
2,87,ropensci-archive/urltemplate,ropensci-archive,urltemplate,Organization,1,14,0,0,0,0
2,88,RichDeto/EPP,richdeto,epp,User,2,217,1,0,0,0
2,89,KWB-R/kwb.default,kwb-r,kwb.default,Organization,2,35,0,2,0,0
2,90,OuhscBbmc/usnavy-billets,ouhscbbmc,usnavy-billets,Organization,3,148,0,9,18,0
2,91,meirelesff/fmeireles,meirelesff,fmeireles,User,0,33,0,0,0,0
2,92,hmalmedal/stringaddins,hmalmedal,stringaddins,User,1,14,0,0,0,0
2,93,SciViews/svMisc,sciviews,svmisc,Organization,4,70,1,3,5,0
2,94,zedoul/buildr,zedoul,buildr,User,1,27,0,0,0,0
2,95,qutang/mHealthR,qutang,mhealthr,User,1,80,0,11,2,0
2,96,erictleung/flowers,erictleung,flowers,User,1,1,0,0,0,0
2,97,sckott/scatrr,sckott,scatrr,User,1,2,0,0,0,0
2,98,verbal-autopsy-software/Tariff,verbal-autopsy-software,tariff,Organization,4,38,1,20,23,0
