"repo_name","repoType","sizeUsers","status","months"
"lpfgarcia/ecol","User",2,"Zombie",59
"maelle/geolocart","User",2,"Dead",18
"maximerivest/scimeetr","User",2,"Dead",29
"meirelesff/fmeireles","User",1,"Dead",8
"mhenderson/thomashardyr","User",1,"Dead",17
"miguel-porto/simriv","User",2,"Dead",42
"mschubert/clustermq","User",3,"Alive",69
"mschubert/narray","User",2,"Alive",65
"ouhscbbmc/usnavy-billets","Organization",1,"Dead",32
"predictiveecology/netlogor","Organization",2,"Alive",67
"privefl/bigstatsr","User",3,"Alive",60
"qutang/mhealthr","User",1,"Dead",23
"r-hub/rhub","Organization",3,"Alive",61
"r-hub/sysreqs","Organization",3,"Zombie",66
"r-simmer/simmer.json","Organization",1,"Dead",0
"r-simmer/simmer.optim","Organization",2,"Dead",44
"r-simmer/simmer.plot","Organization",2,"Alive",56
"raybaser/proscorer","User",1,"Dead",12
"raybaser/proscorertools","User",1,"Dead",20
"rcppmlpack/rcppmlpack2","Organization",2,"Dead",61
"reconhub/epicontacts","Organization",2,"Alive",64
"reconhub/incidence","Organization",3,"Dead",61
"richdeto/epp","User",1,"Alive",62
"ropensci-archive/ccafs","Organization",2,"Dead",55
"ropensci-archive/cmipr","Organization",2,"Dead",30
"ropensci-archive/colorpiler","Organization",2,"Dead",56
"ropensci-archive/crevents","Organization",1,"Dead",41
"ropensci-archive/crminer","Organization",2,"Dead",52
"ropensci-archive/datapkg","Organization",2,"Dead",25
"ropensci-archive/dissemr","Organization",1,"Dead",51
"ropensci-archive/gdoc","Organization",2,"Dead",27
"ropensci-archive/geojsonrewind","Organization",1,"Dead",45
"ropensci-archive/geoparser","Organization",2,"Dead",46
"ropensci-archive/hoasts","Organization",1,"Dead",48
"ropensci-archive/leafier","Organization",2,"Alive",61
"ropensci-archive/monkeylearn","Organization",2,"Dead",55
"ropensci-archive/nneo","Organization",2,"Dead",26
"ropensci-archive/originr","Organization",2,"Dead",60
"ropensci-archive/riodata","Organization",2,"Dead",58
"ropensci-archive/rtimicropem","Organization",2,"Alive",64
"ropensci-archive/scitations","Organization",1,"Dead",46
"ropensci-archive/snowball","Organization",2,"Alive",59
"ropensci-archive/sparqldsl","Organization",1,"Dead",32
"ropensci-archive/timeraster","Organization",1,"Dead",38
"ropensci-archive/travis","Organization",3,"Dead",52
"ropensci-archive/urltemplate","Organization",1,"Dead",50
"ropensci-archive/zissou","Organization",1,"Dead",43
"ropensci/beautier","Organization",2,"Alive",66
"ropensci/bib2df","Organization",3,"Zombie",62
"ropensci/bikedata","Organization",3,"Alive",53
"ropensci/binman","Organization",2,"Zombie",57
"ropensci/camsrad","Organization",2,"Dead",40
"ropensci/charlatan","Organization",3,"Alive",52
"ropensci/cleanehr","Organization",3,"Dead",46
"ropensci/coder","Organization",2,"Alive",62
"ropensci/coordinatecleaner","Organization",3,"Zombie",57
"ropensci/crul","Organization",3,"Alive",59
"ropensci/dbhydror","Organization",2,"Alive",68
"ropensci/fauxpas","Organization",1,"Dead",54
"ropensci/geojson","Organization",2,"Dead",58
"ropensci/geojsonlint","Organization",2,"Dead",55
"ropensci/getcrucldata","Organization",2,"Dead",50
"ropensci/ghql","Organization",3,"Alive",59
"ropensci/graphql","Organization",2,"Dead",39
"ropensci/gtfsr","Organization",3,"Dead",58
"ropensci/gutenbergr","Organization",3,"Zombie",61
"ropensci/hunspell","Organization",3,"Alive",63
"ropensci/isdparser","Organization",2,"Dead",48
"ropensci/jaod","Organization",2,"Dead",51
"ropensci/jsonld","Organization",2,"Dead",42
"ropensci/jsonvalidate","Organization",3,"Alive",63
"ropensci/lingtypology","Organization",3,"Alive",64
"ropensci/magick","Organization",3,"Alive",63
"ropensci/natserv","Organization",2,"Alive",56
"ropensci/opencage","Organization",2,"Alive",64
"ropensci/osmdata","Organization",3,"Alive",70
"ropensci/osmplotr","Organization",3,"Alive",64
"ropensci/pdftools","Organization",3,"Alive",67
"ropensci/phylocomr","Organization",2,"Alive",51
"ropensci/phylotar","Organization",3,"Zombie",58
"ropensci/postcodesior","Organization",2,"Zombie",62
"ropensci/qualtrics","Organization",3,"Alive",60
"ropensci/rbace","Organization",2,"Zombie",54
"ropensci/rcoreoa","Organization",2,"Dead",57
"ropensci/rdefra","Organization",2,"Alive",61
"ropensci/refimpact","Organization",2,"Dead",44
"ropensci/riem","Organization",2,"Alive",60
"ropensci/rnaturalearthdata","Organization",2,"Zombie",65
"ropensci/rnaturalearthhires","Organization",3,"Zombie",66
"ropensci/roadoi","Organization",2,"Alive",59
"ropensci/rredlist","Organization",2,"Zombie",66
"ropensci/rrricanes","Organization",2,"Dead",46
"ropensci/smapr","Organization",3,"Zombie",63
"ropensci/tabulizer","Organization",3,"Alive",65
"ropensci/tabulizerjars","Organization",2,"Dead",39
"ropensci/taxa","Organization",3,"Alive",64
"ropensci/taxizedb","Organization",3,"Alive",64
"ropensci/tesseract","Organization",3,"Alive",66
"ropensci/tic","Organization",3,"Alive",60
"ropensci/tokenizers","Organization",3,"Alive",63
"ropensci/visdat","Organization",3,"Alive",68
"ropensci/weathercan","Organization",3,"Alive",63
"ropensci/wicket","Organization",2,"Dead",37
"ropensci/wikitaxa","Organization",1,"Dead",48
"ropensci/worrms","Organization",2,"Alive",57
"ropensci/xslt","Organization",2,"Alive",53
"rstudio/tufte","Organization",3,"Alive",68
"scientific-computing-solutions/eventprediction","Organization",1,"Dead",5
"scientific-computing-solutions/informativecensoring","Organization",2,"Dead",48
"sciviews/svgui","Organization",1,"Alive",61
"sciviews/svmisc","Organization",2,"Alive",67
"sciviews/svunit","Organization",1,"Alive",61
"sckott/apipkgen","User",2,"Dead",54
"sckott/aspacer","User",1,"Dead",53
"sckott/atomize","User",1,"Dead",52
"sckott/geoops","User",2,"Dead",56
"sckott/phyrmeta","User",1,"Dead",49
"sckott/ridb","User",1,"Dead",4
"sckott/scatrr","User",1,"Dead",12
"simongrund1/mitml","User",2,"Alive",61
"stan-dev/bayesplot","Organization",3,"Alive",65
"stan-dev/projpred","Organization",3,"Alive",64
"stan-dev/rstantools","Organization",3,"Alive",60
"statsmaths/cleannlp","User",3,"Alive",58
"teramonagi/fitbitr","User",3,"Zombie",63
"teramonagi/oandar","User",1,"Dead",5
"tertiarycourses/rstatisticstraining","Organization",1,"Dead",49
"thekvs/tarantoolr","User",1,"Dead",18
"thinkr-open/thinkr","Organization",2,"Alive",65
"trinity-automata-research/dsmodels","Organization",2,"Dead",33
"uribo/jpndistrict","User",2,"Dead",51
"uscbiostats/aphylo","Organization",1,"Alive",56
"verbal-autopsy-software/tariff","Organization",2,"Dead",41
"vertesy/roxygenready","User",2,"Dead",57
"walterxie/tracer","User",1,"Alive",63
"zedoul/buildr","User",1,"Dead",19
